# Gene Family,P1,P2,P3,P4,P5,P6
COG5277,0.062,0.052,0.096,0.051,0.0,0.035
COG5282,0.0,0.125,0.0,0.0,0.047,0.0
COG5285,0.215,0.0,0.368,0.378,0.293,0.0
COG5297,0.0,0.161,0.171,0.0,0.0,0.0
COG5304,0.0,0.0,0.0,0.084,0.0,0.0
COG5309,0.0,0.097,0.0,0.0,0.07,0.0
COG5310,0.325,0.164,0.123,0.092,0.0,0.202
COG5316,0.106,0.187,0.148,0.0,0.155,0.179
COG5317,0.149,0.079,0.15,0.382,0.217,0.103
COG5319,0.0,0.0,0.02,0.0,0.0,0.0
COG5321,0.128,0.0,0.03,0.0,0.08,0.0
COG5322,0.0,0.0,0.125,0.12,0.166,0.0
COG5323,0.307,0.0,0.0,0.0,0.0,0.0
COG5328,1.273,0.607,0.478,0.637,0.208,0.784
COG5330,0.156,0.301,0.115,0.208,0.125,0.0
COG5331,0.0,0.0,0.063,0.0,0.0,0.0
COG5342,0.365,0.482,0.403,0.253,0.54,0.395
COG5349,0.593,0.681,0.093,0.684,0.332,0.517
COG5350,0.037,0.0,0.0,0.0,0.0,0.0
COG5352,0.145,0.192,0.074,0.27,0.051,0.54
COG5360,0.217,0.189,0.161,0.305,0.425,0.584
COG5361,0.628,0.512,0.446,0.923,0.644,0.441
COG5362,0.084,0.0,0.0,0.0,0.0,0.185
COG5368,0.402,0.58,0.463,0.558,0.397,0.395
COG5377,0.321,0.835,0.0,0.548,0.247,0.0
COG5385,0.36,0.418,0.188,0.499,0.496,0.394
COG5387,0.0,0.0,0.0,0.091,0.0,0.0
COG5389,0.0,0.139,0.109,0.0,0.152,0.0
COG5394,0.0,0.079,0.312,0.286,0.462,0.229
COG5395,0.172,0.08,0.0,0.12,0.0,0.0
COG5400,0.866,1.315,0.38,0.49,0.467,0.815
COG5402,0.411,0.3,0.378,0.314,0.164,0.223
COG5404,0.0,0.0,0.0,0.0,0.0,0.082
COG5405,3.928,4.795,3.8,4.915,4.224,4.605
COG5410,0.084,0.0,0.0,0.0,0.0,0.185
COG5420,0.0,0.0,0.0,0.0,0.0,0.127
COG5423,0.0,0.0,0.118,0.0,0.0,0.0
COG5424,0.58,1.055,0.752,0.539,0.31,0.739
COG5425,0.15,0.074,0.047,0.103,0.132,0.041
COG5428,0.0,0.0,0.034,0.0,0.0,0.0
COG5433,0.377,0.0,0.963,0.353,0.265,0.354
COG5434,0.255,0.26,0.753,0.583,0.0,0.212
COG5436,0.349,0.633,0.149,0.422,0.195,0.0
COG5439,0.0,0.0,0.0,0.116,0.0,0.0
COG5441,0.0,0.185,0.0,0.0,0.0,0.0
COG5442,0.056,0.0,0.0,0.0,0.0,0.0
COG5447,0.133,0.086,0.0,0.0,0.163,0.0
COG5450,0.0,0.0,0.125,0.05,0.048,0.077
COG5451,0.686,0.617,0.302,0.305,0.403,0.68
COG5454,0.0,0.0,0.069,0.0,0.0,0.0
COG5458,0.391,0.327,0.148,0.142,0.076,0.329
COG5465,0.163,0.608,0.173,0.204,0.201,0.361
COG5466,0.0,0.0,0.0,0.096,0.0,0.0
COG5467,0.0,0.0,0.117,0.154,0.0,0.0
COG5468,0.147,0.073,0.047,0.0,0.0,0.0
COG5469,0.116,0.062,0.14,0.0,0.063,0.1
COG5470,0.0,0.077,0.032,0.175,0.786,0.0
COG5472,0.0,0.205,0.0,0.0,0.117,0.0
COG5473,0.952,0.705,0.388,0.689,0.395,0.489
COG5476,0.113,0.202,0.079,0.192,0.0,0.0
COG5477,0.0,0.0,0.084,0.093,0.063,0.139
COG5478,0.312,0.127,0.614,0.18,0.388,0.173
COG5479,0.0,0.0,0.098,0.0,0.0,0.0
COG5480,0.4,0.163,0.486,0.386,0.234,0.226
COG5483,0.219,0.342,0.622,0.981,0.687,0.257
COG5485,0.097,0.1,0.196,0.0,0.0,0.103
COG5486,0.758,0.36,0.487,0.427,0.307,0.238
COG5488,0.0,0.0,0.065,0.0,0.0,0.0
COG5489,0.271,0.0,0.0,0.291,0.288,0.457
COG5490,0.0,0.0,0.073,0.0,0.0,0.0
COG5495,0.17,0.0,0.0,0.0,0.0,0.0
COG5496,0.076,0.236,0.069,0.297,0.181,0.0
COG5499,0.35,0.139,0.27,0.157,0.041,0.0
COG5501,0.0,0.059,0.0,0.109,0.045,0.0
COG5502,0.1,0.0,0.0,0.0,0.0,0.0
COG5504,0.0,0.0,0.551,0.221,0.0,0.134
COG5507,0.775,1.054,0.35,0.543,0.449,1.026
COG5509,0.184,0.0,0.0,0.0,0.0,0.0
COG5512,0.0,0.0,0.067,0.0,0.0,0.0
COG5514,0.0,0.0,0.0,0.112,0.0,0.0
COG5517,0.103,0.081,0.0,0.0,0.0,0.0
COG5520,0.0,0.452,0.311,0.348,0.386,0.145
COG5528,0.062,0.235,0.0,0.055,0.0,0.0
COG5531,0.074,0.22,0.347,0.073,0.0,0.0
COG5545,0.894,1.0,1.114,1.06,1.112,1.2
COG5552,0.561,0.793,0.621,0.217,0.289,0.392
COG5553,0.406,0.108,0.138,0.0,0.238,0.0
COG5554,0.218,0.0,0.126,0.0,0.114,0.232
COG5557,3.227,3.663,3.922,4.929,5.003,3.559
COG5564,0.637,0.646,0.911,0.8,0.778,0.663
COG5565,1.031,0.0,0.0,0.0,0.0,0.0
COG5568,2.591,2.783,1.0,0.825,1.428,1.616
COG5569,0.0,0.218,0.104,0.0,0.0,0.0
COG5570,0.826,0.287,0.09,0.154,0.044,0.326
COG5572,0.0,0.0,0.0,0.0,0.143,0.129
COG5579,0.139,0.0,0.0,0.0,0.0,0.0
COG5582,0.0,0.0,0.0,0.07,0.0,0.0
COG5584,0.265,0.0,0.0,0.0,0.0,0.0
COG5588,0.261,0.263,0.458,0.23,0.328,0.228
COG5591,0.0,0.0,0.0,0.076,0.0,0.128
COG5605,0.25,0.09,0.0,0.115,0.043,0.211
COG5606,0.337,0.264,0.367,0.205,0.266,0.164
COG5615,0.0,0.18,0.0,0.0,0.0,0.0
COG5616,2.269,1.711,0.998,1.361,1.239,1.542
COG5621,0.0,0.0,0.0,0.0,0.115,0.0
COG5622,0.0,0.052,0.0,0.0,0.0,0.094
COG5637,0.0,0.0,0.284,0.11,0.0,0.09
COG5639,0.02,0.032,0.086,0.0,0.0,0.025
COG5646,0.525,0.347,1.15,0.667,0.73,0.446
COG5649,4.634,3.319,5.569,4.009,3.303,3.621
COG5659,2.239,2.521,7.479,3.356,6.018,4.185
ENOG4102SM3,0.064,0.0,0.062,0.025,0.0,0.0
ENOG4102SPB,0.0,0.0,0.082,0.0,0.0,0.0
ENOG4102SRB,0.0,0.0,0.061,0.0,0.0,0.0
ENOG4102SSQ,0.0,0.0,0.0,0.0,0.0,0.101
ENOG4102ST2,0.0,0.0,0.072,0.0,0.0,0.0
