# Gene Family,P1,P2,P3,P4,P5,P6
K07646,6.341,6.719,5.196,5.787,5.475,6.632
K07653,0.0,0.0,0.092,0.123,0.0,0.0
K07654,0.123,0.057,0.236,0.039,0.0,0.084
K07657,3.839,4.173,4.514,4.362,3.599,2.708
K07658,0.172,0.141,0.25,0.312,0.354,0.174
K07659,1.16,1.256,0.833,0.756,1.897,1.379
K07662,1.042,1.124,0.714,0.652,0.86,0.735
K07663,0.276,0.0,0.137,0.124,0.206,0.166
K07664,0.0,0.13,0.0,0.0,0.0,0.0
K07665,1.446,1.702,1.184,0.718,1.111,1.274
K07666,0.14,0.0,0.0,0.0,0.0,0.077
K07667,7.293,6.374,5.804,7.752,7.63,7.005
K07669,0.319,0.49,1.629,0.549,0.11,0.235
K07670,1.347,1.456,1.982,1.279,1.124,1.06
K07671,0.033,0.049,0.0,0.0,0.059,0.087
K07672,0.104,0.0,0.237,0.0,0.0,0.0
K07673,0.0,0.0,0.068,0.0,0.0,0.0
K07684,0.0,0.206,0.094,0.103,0.0,0.11
K07687,0.0,0.0,0.104,0.0,0.0,0.0
K07693,0.803,1.093,0.676,0.157,0.409,0.287
K07695,0.229,0.214,0.09,0.0,0.0,0.261
K07699,0.0,0.099,0.0,0.056,0.0,0.0
K07705,0.093,0.0,0.172,0.0,0.149,0.215
K07708,4.139,4.395,3.234,3.738,3.226,3.034
K07709,0.0,0.0,0.164,0.141,0.0,0.0
K07711,0.0,0.0,0.314,0.214,0.166,0.0
K07712,5.154,4.887,3.881,5.099,4.505,5.942
K07713,2.43,1.735,2.903,3.542,2.395,2.058
K07714,2.629,2.954,4.348,2.804,3.108,2.651
K07715,0.47,0.369,0.381,0.641,0.507,0.408
K07716,2.078,1.63,0.901,0.62,0.848,0.476
K07722,1.499,1.416,2.437,2.649,2.449,1.332
K07723,0.148,0.0,0.0,0.0,0.074,0.0
K07726,1.735,1.373,2.784,2.656,3.335,2.703
K07727,0.989,1.384,1.195,1.65,0.715,0.644
K07729,0.615,0.992,0.683,0.913,0.34,0.678
K07733,0.287,0.408,0.632,0.351,0.194,0.211
K07734,0.0,0.236,0.079,0.264,0.208,0.096
K07735,1.823,1.404,1.16,1.004,0.542,0.707
K07736,6.7,8.542,10.983,9.127,7.64,6.555
K07738,5.285,3.517,4.456,4.359,3.584,3.666
K07742,0.0,0.0,0.265,0.166,0.041,0.143
K07743,0.0,0.0,0.165,0.0,0.0,0.0
K07746,1.026,1.548,2.549,1.798,1.265,1.591
K07749,1.341,1.563,0.991,0.654,0.517,1.125
K07755,3.058,3.656,2.787,3.768,2.142,3.948
K07768,0.0,0.0,0.029,0.15,0.0,0.0
K07771,0.0,0.0,0.0,0.0,0.098,0.0
K07774,0.0,0.309,0.0,0.0,0.0,0.151
K07775,0.0,0.0,0.085,0.0,0.0,0.0
K07776,2.266,2.946,2.187,1.14,1.357,1.865
K07777,0.081,0.379,0.22,0.223,0.214,0.302
K07778,0.0,0.0,0.176,0.0,0.0,0.0
K07787,1.577,1.284,4.789,4.682,4.227,3.871
K07788,3.948,4.25,2.717,3.826,2.716,3.094
K07789,2.15,2.089,0.955,1.803,1.386,1.207
K07791,0.351,0.405,0.296,0.906,0.814,0.522
K07792,0.0,0.0,0.126,0.0,0.0,0.0
K07793,1.581,1.764,1.13,2.001,1.801,1.596
K07794,0.0,0.0,0.09,0.0,0.0,0.174
K07795,0.0,0.1,0.111,0.0,0.0,0.0
K07798,0.0,0.0,0.546,0.605,0.246,0.0
K07799,0.812,0.251,0.335,0.672,0.714,0.315
K07807,0.269,0.302,0.0,0.238,0.077,0.244
K07814,0.0,0.0,0.263,0.0,0.072,0.0
K07823,3.409,3.275,2.316,2.824,2.157,1.494
K07979,1.932,1.502,2.438,2.307,1.445,1.478
K08084,0.0,0.0,0.0,0.0,0.0,0.076
K08093,0.103,0.0,0.136,0.0,0.0,0.0
K08094,0.0,0.0,0.0,0.0,0.119,0.0
K08095,0.0,0.0,0.073,0.0,0.0,0.0
K08097,1.386,0.687,0.742,0.434,1.211,1.154
K08151,0.201,0.348,0.0,0.112,0.054,0.135
K08167,0.182,0.0,0.186,0.056,0.0,0.0
K08169,0.097,0.0,0.0,0.0,0.089,0.0
K08173,0.153,0.154,0.0,0.0,0.0,0.112
K08177,3.946,3.079,2.53,2.743,2.424,3.171
K08178,0.316,0.277,0.32,0.17,0.176,0.232
K08191,0.982,1.154,1.379,1.693,1.319,1.504
K08194,0.22,0.176,0.0,0.0,0.0,0.321
K08195,1.367,1.867,0.617,1.372,0.636,1.102
K08218,3.437,3.9,1.64,2.133,1.794,2.269
K08221,0.0,0.0,0.072,0.0,0.0,0.0
K08223,0.649,1.164,0.251,0.283,0.314,0.3
K08224,0.0,0.0,0.302,0.291,0.269,0.0
K08234,0.778,0.464,0.479,0.507,0.339,0.733
K08252,0.507,0.323,0.672,0.455,0.92,0.451
K08253,0.162,0.0,0.24,0.0,0.081,0.063
K08256,0.0,0.0,0.205,0.286,0.132,0.0
K08281,1.623,1.382,2.24,2.086,2.264,0.995
K08282,0.0,0.0,0.0,0.119,0.0,0.097
K08289,0.0,0.0,0.138,0.0,0.093,0.133
K08295,0.911,1.001,0.511,0.708,0.616,0.425
K08296,0.0,0.287,0.0,0.066,0.0,0.21
K08299,0.464,0.874,0.247,0.565,0.347,0.33
K08300,0.317,0.317,0.64,0.295,0.568,0.535
K08301,2.048,0.586,2.125,2.008,1.919,0.806
K08303,0.567,0.396,0.439,0.298,0.393,0.662
K08304,0.0,0.0,0.16,0.114,0.165,0.0
K08305,0.0,0.0,0.0,0.0,0.0,0.127
K08307,0.388,0.274,0.524,0.444,0.0,0.577
K08309,0.067,0.0,0.0,0.0,0.0,0.0
K08311,0.801,1.159,0.873,1.496,0.546,0.372
K08315,0.0,0.0,0.109,0.0,0.0,0.0
K08316,1.058,1.551,0.992,1.105,1.618,1.073
K08319,0.391,0.415,0.165,0.095,0.0,0.226
K08321,7.072,6.803,3.567,5.261,6.344,6.389
K08323,0.45,0.495,0.364,0.705,0.431,0.249
K08351,0.654,0.416,0.251,0.078,0.288,0.274
K08352,0.0,0.0,0.31,0.531,0.308,0.0
K08355,0.164,0.0,0.0,0.048,0.056,0.259
K08356,0.162,0.0,0.065,0.0,0.0,0.133
K08363,0.094,0.0,0.0,0.0,0.0,0.0
K08364,0.0,0.078,0.0,0.0,0.0,0.0
K08368,0.457,0.326,0.449,0.472,0.148,0.0
K08369,1.753,1.435,0.867,1.58,2.113,2.774
K08372,0.083,0.0,0.086,0.0,0.0,0.0
K08481,0.869,0.855,0.874,0.512,0.334,0.459
K08482,1.058,0.789,1.11,0.428,0.236,0.363
K08483,1.59,1.102,2.211,2.06,1.857,1.412
K08484,5.647,4.817,3.07,4.693,3.366,4.615
K08591,1.196,0.539,0.869,0.801,0.617,0.675
K08602,3.286,3.263,2.836,2.697,2.613,2.351
K08641,0.07,0.296,0.22,0.376,0.166,0.266
K08676,0.522,0.251,0.528,0.435,0.545,0.441
K08677,0.327,0.124,0.0,0.0,0.246,0.0
K08678,1.784,1.58,0.876,1.911,0.617,0.978
K08679,0.584,0.686,0.947,0.993,0.572,0.921
K08681,0.0,0.041,1.129,0.486,0.0,0.0
K08691,2.74,3.541,2.813,3.386,2.504,3.029
K08692,0.359,0.477,0.073,0.47,0.309,0.223
K08697,0.0,0.0,0.644,0.385,0.531,0.143
K08715,0.0,0.0,0.0,0.198,0.0,0.0
K08717,0.0,0.237,0.088,0.128,0.179,0.257
K08738,0.766,1.217,0.889,1.711,0.799,1.318
K08744,1.544,0.717,1.893,1.542,2.424,1.494
K08770,0.1,0.0,0.0,0.028,0.028,0.0
K08776,0.0,0.0,0.0,0.0,0.248,0.0
K08884,0.0,0.0,0.0,0.081,0.0,0.0
K08900,0.187,0.0,0.0,0.152,0.0,0.0
K08927,0.0,0.0,0.169,0.0,0.0,0.107
K08963,3.805,2.172,4.025,4.361,3.599,3.39
K08966,0.0,0.0,0.129,0.0,0.13,0.0
K08967,0.0,0.164,0.025,0.0,0.0,0.0
K08968,0.0,0.122,0.284,0.0,0.367,0.084
K08970,0.346,0.328,0.123,0.495,0.399,0.391
K08971,0.0,0.0,0.076,0.0,0.0,0.0
K08972,0.221,0.157,0.117,0.0,0.09,0.0
K08973,0.701,0.636,0.124,0.22,0.34,0.936
K08976,0.0,0.0,0.33,0.225,0.76,0.074
K08978,0.374,0.517,0.366,0.085,0.157,0.449
K08982,0.0,0.0,0.266,0.0,0.0,0.0
K08983,0.0,0.0,0.0,0.0,0.0,0.416
K08984,0.0,0.0,0.274,0.0,0.0,0.0
K08987,0.0,0.0,0.1,0.0,0.0,0.0
K08988,0.185,0.0,0.236,0.114,0.76,0.134
K08990,0.252,0.251,0.173,0.196,0.0,0.0
K08992,0.359,0.511,0.365,0.286,0.8,0.159
K08994,0.0,0.0,0.0,0.0,0.0,0.11
K08995,1.004,1.139,0.693,1.109,0.435,0.678
K08998,2.142,1.363,1.26,1.523,2.015,1.491
K08999,9.813,8.021,10.962,7.721,6.738,5.7
K09001,0.247,0.281,0.578,0.101,0.362,0.0
K09002,1.623,1.435,1.381,1.922,1.625,1.519
K09003,1.657,1.434,1.785,1.917,0.968,0.895
K09004,0.495,0.0,0.792,0.199,0.247,0.575
K09005,0.466,0.22,0.096,0.664,0.327,0.491
K09007,0.425,0.241,0.626,0.0,0.301,0.0
K09009,0.596,0.629,0.726,0.674,0.12,0.29
K09013,7.916,9.453,8.339,6.504,5.54,6.489
K09014,14.687,14.097,14.377,12.797,11.569,12.073
K09015,1.509,0.579,2.202,0.609,0.136,0.202
K09017,0.0,0.0,0.25,0.0,0.118,0.0
K09019,0.0,0.0,0.08,0.182,0.0,0.135
K09020,1.891,2.147,1.286,1.098,1.002,0.906
K09021,0.629,1.158,0.372,0.255,0.21,0.34
K09022,2.871,2.211,1.168,1.304,0.608,0.464
K09024,0.389,0.448,0.0,0.0,0.0,0.0
K09065,0.14,0.13,0.063,0.137,0.0,0.133
K09116,0.0,0.0,0.093,0.0,0.0,0.0
K09117,0.352,0.576,1.596,1.641,0.981,0.612
K09118,0.826,0.357,0.905,0.834,0.953,0.344
K09119,0.0,0.0,0.0,0.11,0.0,0.0
K09120,0.161,0.0,0.12,0.128,0.266,0.0
K09121,1.023,1.212,1.801,1.303,1.514,1.515
K09122,0.0,0.0,0.0,0.0,0.083,0.159
K09125,0.0,0.437,0.235,0.484,0.0,0.117
K09126,0.0,0.0,0.0,0.265,0.0,0.0
K09128,1.004,1.598,0.701,0.255,0.507,0.465
K09129,3.187,2.781,3.05,4.319,3.6,4.936
K09131,0.398,0.102,0.514,0.799,0.867,0.37
K09136,0.0,0.131,0.0,0.272,0.0,0.0
K09137,0.505,0.56,1.097,0.823,0.199,0.829
K09141,0.0,0.0,0.215,0.0,0.104,0.0
K09143,0.766,0.902,0.572,0.908,0.126,0.95
K09152,0.0,0.0,0.0,0.209,0.0,0.0
K09153,0.0,0.432,0.157,0.228,0.177,0.0
K09154,0.133,0.0,0.209,0.0,0.0,0.0
K09155,0.094,0.0,0.162,0.099,0.0,0.087
K09157,1.0,0.829,1.288,0.989,0.733,0.755
K09158,0.0,0.0,0.0,0.204,0.0,0.08
K09159,0.314,0.264,0.0,0.072,0.073,0.095
K09160,0.704,0.872,0.764,0.944,0.056,0.412
K09163,0.317,0.302,0.54,0.267,0.0,0.138
K09165,4.283,5.183,2.765,3.625,2.877,3.289
K09166,0.112,0.0,0.0,0.0,0.0,0.0
K09167,0.0,0.0,0.21,0.077,0.075,0.039
K09181,1.393,1.314,1.368,2.323,1.571,2.08
K09386,2.727,2.288,1.343,1.825,0.779,1.159
K09456,0.279,0.461,0.589,0.282,0.15,0.111
K09457,6.247,6.102,5.68,7.34,5.93,5.836
K09458,10.204,10.761,10.716,10.267,8.814,8.486
K09459,0.734,0.447,0.522,0.719,0.568,0.547
K09461,3.522,3.42,2.627,3.173,2.815,3.034
K09472,0.24,0.0,0.152,0.0,0.0,0.0
K09516,0.0,0.092,0.0,0.0,0.0,0.0
K09682,0.0,0.0,0.0,0.083,0.0,0.0
K09683,0.0,0.0,0.0,0.0,0.089,0.0
K09684,0.572,0.0,0.834,0.121,0.0,0.0
K09689,0.141,0.365,0.0,0.084,0.0,0.0
K09690,1.811,2.337,0.901,1.145,1.64,1.989
K09691,0.745,0.679,1.109,1.034,0.904,1.234
K09692,0.0,0.0,0.302,0.096,0.0,0.0
K09693,0.074,0.0,0.0,0.0,0.0,0.0
K09694,0.0,0.0,0.223,0.096,0.0,0.0
K09695,0.0,0.306,0.649,0.365,0.17,0.0
K09696,0.0,0.183,0.139,0.0,0.0,0.0
K09697,1.345,0.897,1.375,0.915,0.569,1.249
K09700,0.139,0.276,0.518,0.256,0.636,0.222
K09701,0.0,0.077,0.0,0.0,0.0,0.0
K09702,0.092,0.0,0.0,0.0,0.0,0.0
K09703,0.989,0.857,0.663,0.796,0.454,0.573
K09705,0.815,0.4,0.405,0.507,0.42,0.167
K09706,0.0,0.0,0.082,0.0,0.0,0.0
K09707,0.0,0.078,0.0,0.0,0.0,0.0
K09709,0.0,0.0,0.321,0.0,0.264,0.0
K09710,1.956,2.159,2.246,2.406,0.958,1.085
K09712,0.0,0.076,0.0,0.0,0.0,0.0
K09721,0.0,0.0,0.0,0.077,0.0,0.0
K09723,0.0,0.0,0.065,0.0,0.0,0.0
K09725,0.0,0.0,0.0,0.065,0.0,0.0
K09726,0.3,0.281,0.619,0.156,0.143,0.0
K09728,0.073,0.0,0.0,0.143,0.0,0.0
K09729,0.0,0.0,0.0,0.0,0.097,0.0
K09731,0.0,0.0,0.1,0.0,0.0,0.0
K09732,0.0,0.0,0.0,0.071,0.0,0.079
K09736,0.0,0.0,0.238,0.0,0.0,0.0
K09741,0.0,0.0,0.079,0.0,0.0,0.0
K09744,0.342,0.349,0.451,0.326,0.176,0.321
K09746,0.0,0.0,0.0,0.127,0.0,0.0
K09747,2.405,2.033,2.378,3.225,2.599,1.939
K09748,0.551,1.416,1.686,1.555,1.164,1.818
K09758,0.62,0.477,0.269,0.388,0.334,0.447
K09759,0.0,0.0,0.176,0.081,0.0,0.0
K09760,0.709,1.421,0.615,1.014,0.47,0.39
K09761,0.326,0.301,0.146,0.509,0.207,0.0
K09762,1.175,1.167,1.732,1.272,0.884,1.26
K09763,0.095,0.0,0.085,0.0,0.0,0.0
K09764,0.948,1.124,2.179,1.422,1.612,0.647
K09767,1.645,1.253,2.104,1.834,2.507,1.716
K09768,0.14,0.257,0.131,0.389,0.0,0.428
K09769,3.772,3.709,4.013,3.117,3.05,2.524
K09771,0.0,0.13,0.277,0.214,0.0,0.092
K09772,1.04,0.631,1.508,0.718,0.123,0.743
K09773,3.358,3.563,2.048,2.12,2.254,2.153
K09774,0.14,0.068,0.284,0.131,0.0,0.085
K09775,0.0,0.075,0.147,0.0,0.0,0.0
K09777,0.045,0.044,0.244,0.16,0.071,0.052
K09778,1.087,1.375,1.673,0.826,0.626,0.739
K09779,0.089,0.0,0.163,0.178,0.0,0.0
K09780,0.558,0.54,0.965,1.289,0.454,0.511
K09786,3.551,3.353,4.373,3.833,3.571,3.372
K09787,0.0,0.0,0.11,0.0,0.0,0.0
K09791,1.704,1.697,3.454,2.103,2.642,1.571
K09792,0.309,0.052,0.203,0.337,0.313,0.209
K09793,0.0,0.0,0.144,0.078,0.0,0.0
K09794,0.351,0.094,0.324,0.447,0.181,0.0
K09795,0.0,0.0,0.0,0.297,0.0,0.0
K09796,0.0,0.0,0.0,0.173,0.0,0.089
K09799,0.0,0.0,0.127,0.062,0.086,0.0
K09801,0.0,0.0,0.0,0.037,0.0,0.0
K09803,0.335,0.224,0.372,0.187,0.5,0.045
K09804,0.501,0.486,0.437,0.754,0.851,0.497
K09806,3.006,2.099,1.501,1.533,1.043,1.378
K09807,0.0,0.0,0.096,0.0,0.083,0.113
K09808,3.302,3.731,2.994,3.851,2.091,2.52
K09810,2.916,4.912,4.238,3.951,3.272,3.745
K09811,0.704,0.578,1.206,0.942,0.722,0.213
K09812,9.553,10.592,8.188,7.788,6.126,7.299
K09815,0.0,0.0,0.0,0.076,0.0,0.0
K09816,0.145,0.253,0.496,1.412,0.91,0.698
K09817,0.192,0.102,0.766,0.0,0.298,0.129
K09822,0.338,0.346,0.208,0.0,0.223,0.0
K09823,0.988,0.599,0.574,0.176,0.0,0.443
K09825,1.483,1.071,1.709,0.974,0.383,0.226
K09826,2.29,2.304,2.081,2.112,1.311,1.205
K09858,0.0,0.0,0.203,0.146,0.075,0.0
K09859,0.0,0.0,0.0,0.0,0.121,0.0
K09861,0.071,0.0,0.175,0.0,0.101,0.163
K09862,0.122,0.226,0.313,0.113,0.332,0.189
K09882,8.992,9.567,5.734,6.736,6.208,6.345
K09883,3.834,4.335,2.445,3.308,2.865,3.334
K09888,0.643,1.15,0.588,1.573,0.614,1.054
K09889,0.0,0.0,0.0,0.048,0.0,0.0
K09903,9.163,9.572,9.999,8.848,8.013,7.404
K09913,0.445,0.0,0.101,0.073,0.766,0.536
K09915,0.639,0.64,0.744,0.745,0.421,0.297
K09919,1.356,1.329,0.894,1.439,0.977,0.851
K09921,0.0,0.0,0.148,0.0,0.0,0.194
K09922,1.317,0.35,0.525,0.832,1.091,0.635
K09924,0.233,0.0,0.071,0.0,0.0,0.0
K09926,0.0,0.109,0.0,0.0,0.0,0.0
K09927,0.0,0.138,0.615,0.371,0.359,0.1
K09928,0.0,0.0,0.0,0.0,0.0,0.084
K09930,0.641,0.315,0.712,0.475,0.626,0.769
K09931,0.141,0.189,0.0,0.0,0.153,0.0
K09932,0.134,0.143,0.086,0.033,0.0,0.0
K09933,0.0,0.0,0.101,0.065,0.0,0.0
K09935,0.2,0.154,0.098,0.311,0.233,0.115
K09936,0.436,0.833,0.157,0.427,0.353,0.0
K09937,0.993,0.191,0.201,0.191,0.137,0.134
K09939,0.0,0.0,0.0,0.175,0.0,0.0
K09942,0.819,0.935,1.077,0.879,0.535,0.819
K09946,0.0,0.0,0.0,0.133,0.0,0.0
K09948,3.92,4.158,1.426,2.733,3.046,1.742
K09949,1.492,1.041,2.007,2.077,1.997,1.444
K09950,0.0,0.0,0.0,0.194,0.0,0.0
K09951,1.217,0.486,0.689,0.567,0.371,0.611
K09954,0.0,0.035,0.0,0.0,0.099,0.108
K09955,2.139,2.104,1.834,2.589,2.35,1.54
K09957,0.0,0.0,0.149,0.0,0.0,0.0
K09958,3.043,2.683,1.435,2.673,1.715,3.162
K09959,0.248,0.18,0.151,0.254,0.383,0.283
K09962,0.0,0.0,0.0,0.064,0.0,0.0
K09964,0.0,0.0,0.134,0.146,0.0,0.0
K09965,0.126,0.162,0.0,0.353,0.112,0.0
K09966,3.269,3.023,3.462,2.424,1.82,2.625
K09967,4.214,3.438,2.566,3.12,3.986,5.786
K09969,4.502,5.198,2.665,3.031,2.651,2.639
K09970,1.131,0.897,0.692,1.155,0.879,0.932
K09971,1.598,1.634,0.234,1.106,0.329,1.144
K09972,3.121,3.554,1.542,2.404,2.599,2.953
K09973,0.0,0.0,0.0,0.0,0.0,0.068
K09976,0.0,0.049,0.0,0.099,0.0,0.0
K09979,0.15,0.0,0.0,0.0,0.0,0.0
K09981,0.0,0.0,0.0,0.117,0.301,0.0
K09982,0.0,0.0,0.0,0.0,0.043,0.0
K09983,2.404,2.545,1.831,2.694,1.336,2.165
K09984,1.754,1.436,1.036,0.616,0.973,1.037
K09985,0.288,0.259,0.067,0.307,0.032,0.307
K09986,3.551,3.873,2.239,2.842,3.303,3.338
K09987,2.145,2.373,1.112,1.587,0.888,1.246
K09988,0.07,0.0,0.0,0.103,0.0,0.0
K09989,5.091,4.678,2.261,3.838,2.195,3.694
K09990,2.493,2.074,1.829,1.481,0.888,1.267
K09992,1.797,1.252,1.015,0.978,1.239,0.992
K10001,0.734,0.442,0.09,0.167,0.175,0.375
K10002,0.895,1.202,0.469,1.075,0.62,0.81
K10003,0.14,0.133,0.136,0.087,0.081,0.243
K10004,1.23,1.038,0.574,0.83,0.681,0.769
K10005,0.0,0.0,0.111,0.0,0.0,0.0
K10006,0.0,0.0,0.269,0.0,0.0,0.0
K10007,0.0,0.0,0.0,0.08,0.0,0.0
K10008,0.0,0.0,0.286,0.0,0.101,0.0
K10009,0.131,0.0,0.0,0.0,0.0,0.173
K10012,0.0,0.123,0.0,0.292,0.106,0.207
K10013,0.102,0.0,0.0,0.0,0.0,0.102
K10014,0.0,0.0,0.0,0.0,0.0,0.159
K10015,0.0,0.0,0.068,0.0,0.0,0.0
K10016,0.1,0.0,0.0,0.0,0.0,0.0
K10021,0.0,0.0,0.0,0.0,0.0,0.099
K10025,0.0,0.0,0.0,0.0,0.093,0.0
K10026,1.367,1.335,1.654,1.418,1.689,2.261
K10027,0.194,0.0,0.201,0.137,0.189,0.0
K10037,0.279,0.409,0.0,0.14,0.13,0.171
K10038,0.0,0.093,0.0,0.0,0.181,0.0
K10040,0.053,0.0,0.0,0.0,0.0,0.0
K10108,0.121,0.161,0.082,0.104,0.0,0.0
K10109,0.0,0.159,0.0,0.0,0.0,0.0
K10110,0.0,0.0,0.0,0.0,0.188,0.0
K10111,0.0,0.48,0.0,0.0,0.098,0.0
K10112,5.009,5.345,5.639,4.907,3.908,3.9
K10117,0.101,0.0,0.078,0.0,0.088,0.0
K10118,0.224,0.493,0.152,0.357,0.387,0.293
K10119,0.468,0.368,0.727,0.861,0.208,0.225
K10126,0.0,0.21,0.34,0.0,0.0,0.291
K10201,0.0,0.102,0.0,0.0,0.0,0.0
K10206,2.085,2.214,3.368,1.777,1.524,2.006
K10216,0.108,0.0,0.099,0.086,0.197,0.0
K10217,0.209,0.165,0.497,0.097,0.0,0.229
K10218,0.924,1.439,1.16,1.637,0.719,0.742
K10219,3.246,3.159,1.868,2.238,1.416,1.817
K10220,4.285,4.108,2.34,2.437,1.691,3.084
K10221,1.054,1.571,0.811,0.725,0.739,0.469
K10227,0.341,0.275,0.118,0.111,0.112,0.286
K10228,0.0,0.0,0.077,0.0,0.202,0.0
K10229,0.79,0.648,0.572,0.227,0.645,0.722
K10232,0.0,0.0,0.0,0.1,0.0,0.0
K10233,0.0,0.0,0.771,0.0,0.085,0.0
K10234,0.0,0.019,0.065,0.162,0.202,0.196
K10237,0.0,0.0,0.0,0.211,0.0,0.0
K10241,0.0,0.0,0.088,0.0,0.107,0.0
K10242,0.164,0.109,0.0,0.0,0.0,0.0
K10253,0.195,0.0,0.0,0.0,0.0,0.041
K10255,1.373,1.518,0.0,0.911,0.565,1.105
K10439,6.482,6.507,4.736,6.129,6.44,6.642
K10440,3.685,4.937,3.597,3.625,1.53,3.472
K10441,1.005,1.512,1.369,0.557,1.29,1.006
K10533,0.0,0.11,0.0,0.198,0.0,0.0
K10536,0.56,0.22,0.321,0.279,0.0,0.078
K10537,0.0,0.142,0.0,0.131,0.0,0.0
K10539,0.0,0.0,0.0,0.0,0.0,0.142
K10543,0.269,0.336,0.349,0.404,0.417,0.311
K10545,0.231,0.113,0.138,0.095,0.061,0.0
K10546,0.22,0.466,0.347,0.48,0.402,0.19
K10547,0.257,0.193,0.359,0.386,0.103,0.427
K10548,0.076,0.0,0.144,0.239,0.0,0.076
K10552,0.079,0.249,0.353,0.101,0.072,0.069
K10553,0.076,0.0,0.38,0.112,0.063,0.133
K10554,0.0,0.0,0.386,0.301,0.243,0.076
K10559,1.713,1.913,1.78,1.596,1.756,2.069
K10560,0.825,1.044,0.912,0.866,1.218,1.035
K10561,1.623,1.797,1.687,1.413,1.615,1.91
K10562,1.24,1.135,1.397,1.032,1.052,1.389
K10563,2.563,2.353,2.949,3.06,2.605,3.445
K10619,1.924,1.142,0.59,1.21,1.369,1.034
K10620,0.0,0.0,0.085,0.0,0.0,0.0
K10621,0.193,0.454,0.092,0.137,0.196,0.0
K10674,2.062,2.124,1.098,1.546,0.77,1.777
K10680,1.132,0.888,0.764,1.204,1.063,1.112
K10713,2.142,2.247,2.186,2.73,1.937,1.857
K10714,0.0,0.0,0.0,0.281,0.0,0.0
K10716,1.491,1.06,0.834,1.05,1.172,1.2
K10725,0.0,0.0,0.083,0.0,0.0,0.0
K10726,0.0,0.0,0.149,0.0,0.0,0.0
K10747,2.179,2.542,2.399,2.162,1.756,1.633
K10764,1.967,1.997,1.292,1.597,0.563,0.92
K10773,2.262,1.781,2.835,2.335,2.135,1.871
K10778,2.218,2.084,1.214,1.102,1.284,1.168
K10804,0.0,0.265,0.112,0.436,0.0,0.0
K10805,0.653,1.027,0.475,0.705,0.276,0.382
K10806,0.238,0.056,0.379,0.208,0.241,0.0
K10823,0.874,0.538,0.351,0.423,0.247,0.466
K10831,0.0,0.101,0.107,0.07,0.0,0.0
K10843,1.399,1.414,2.178,1.71,1.25,1.803
K10848,0.0,0.0,0.114,0.0,0.0,0.0
K10854,0.0,0.0,0.0,0.0,0.092,0.181
K10907,1.39,1.107,1.096,0.847,0.7,1.401
K10914,3.58,3.531,2.987,4.163,2.983,2.049
K10941,0.0,0.0,0.0,0.226,0.0,0.121
K10944,0.0,0.0,0.088,0.319,0.0,0.0
K10945,0.0,0.0,0.0,0.454,0.0,0.109
K10946,5.406,4.245,4.146,2.293,1.835,1.703
K10947,0.213,0.385,0.168,0.35,0.53,0.724
K10974,0.242,0.096,0.327,0.114,0.0,0.0
K10979,1.019,1.425,1.138,1.283,0.927,0.767
K11003,1.401,1.957,0.74,1.979,1.959,2.142
K11004,2.892,2.98,0.887,3.129,3.616,3.063
K11065,1.444,2.415,1.667,2.013,2.333,1.857
K11068,0.0,0.154,0.3,0.318,0.0,0.094
K11069,0.261,0.887,0.576,0.73,0.579,0.276
K11070,0.578,0.986,0.946,1.102,0.677,0.67
K11071,1.121,1.106,1.556,1.083,1.137,1.116
K11072,0.354,0.43,0.292,0.473,0.384,0.44
K11073,0.333,0.365,0.353,0.983,0.119,0.662
K11074,1.207,0.785,0.81,0.379,0.72,0.878
K11075,0.0,0.148,0.079,0.114,0.407,0.151
K11076,0.0,0.0,0.083,0.0,0.0,0.0
K11079,0.0,0.279,0.309,0.416,0.205,0.0
K11081,0.0,0.135,0.0,0.0,0.0,0.0
K11082,0.051,0.098,0.0,0.0,0.0,0.076
K11083,0.0,0.12,0.0,0.0,0.0,0.0
K11084,0.0,0.0,0.0,0.068,0.0,0.0
K11085,2.046,1.892,2.385,2.38,2.099,2.041
K11089,0.0,0.139,0.117,0.106,0.0,0.0
K11097,0.014,0.0,0.0,0.0,0.154,0.0
K11102,1.088,0.882,0.949,0.892,0.886,0.792
K11103,4.266,4.691,3.083,4.052,3.524,4.74
K11105,0.608,0.301,0.361,0.284,0.106,0.444
K11130,0.0,0.0,0.0,0.0,0.168,0.0
K11131,0.0,0.0,0.363,0.0,0.0,0.0
K11145,0.0,0.0,0.065,0.0,0.0,0.0
K11159,0.237,0.345,0.085,0.132,0.0,0.0
K11173,0.297,0.458,0.479,0.463,0.509,0.469
K11175,0.873,0.85,1.236,1.713,1.497,1.943
K11177,2.34,2.374,1.864,1.649,1.515,1.729
K11178,2.273,2.591,2.0,2.008,1.878,1.47
K11179,0.14,0.277,0.553,0.56,0.281,0.0
K11180,0.0,0.0,0.0,0.102,0.0,0.0
K11181,0.0,0.0,0.079,0.207,0.0,0.0
K11184,0.042,0.088,0.0,0.0,0.0,0.086
K11189,3.2,3.881,2.367,2.688,2.539,1.613
K11206,3.134,2.748,2.314,3.767,3.27,2.831
K11209,20.999,20.786,10.587,16.31,15.539,19.631
K11212,0.0,0.276,0.316,0.346,0.0,0.076
K11253,0.0,0.0,0.051,0.0,0.106,0.0
K11254,0.0,0.005,0.0,0.01,0.0,0.0
K11260,0.0,0.0,0.159,0.0,0.0,0.0
K11261,0.199,0.12,0.154,0.077,0.289,0.276
