# Gene Family,P1,P2,P3,P4,P5,P6
K06439,0.0,0.0,0.183,0.0,0.0,0.0
K06440,0.088,0.0,0.0,0.108,0.0,0.0
K06442,0.597,0.562,1.145,1.914,1.472,0.59
K06443,0.0,0.0,0.0,0.089,0.0,0.0
K06445,1.123,0.915,0.591,0.877,0.845,0.905
K06446,0.0,0.0,0.113,0.177,0.0,0.188
K06518,0.0,0.117,0.0,0.0,0.0,0.0
K06596,0.0,0.169,0.0,0.308,0.287,0.0
K06598,0.0,0.0,0.0,0.0,0.083,0.0
K06601,0.277,0.21,0.311,0.233,0.352,0.095
K06602,0.553,0.528,0.163,0.232,0.181,0.419
K06603,0.401,0.477,0.376,0.433,0.0,0.169
K06605,0.0,0.0,0.0,0.144,0.0,0.0
K06609,0.0,0.0,0.073,0.0,0.0,0.0
K06718,0.0,0.0,0.067,0.0,0.0,0.0
K06720,0.0,0.104,0.0,0.0,0.0,0.0
K06726,1.24,0.949,1.08,0.441,0.558,1.095
K06857,0.475,0.39,0.116,0.303,0.219,0.267
K06859,0.0,0.079,0.419,0.0,0.0,0.123
K06860,0.0,0.0,0.171,0.118,0.0,0.0
K06861,3.438,3.679,3.939,4.116,3.969,3.152
K06862,0.515,0.43,0.796,0.574,0.226,0.485
K06863,0.0,0.0,0.181,0.0,0.0,0.0
K06864,1.647,1.538,3.265,2.978,2.562,1.784
K06867,0.0,0.115,0.073,0.0,0.0,0.0
K06871,0.243,0.269,0.483,0.524,0.742,0.268
K06872,1.315,1.507,0.797,0.935,1.731,1.816
K06873,0.0,0.0,0.105,0.0,0.084,0.0
K06874,0.0,0.0,0.0,0.114,0.0,0.0
K06875,0.0,0.076,0.066,0.0,0.0,0.0
K06877,0.737,0.973,1.312,0.891,0.667,1.003
K06878,0.0,0.228,0.211,0.0,0.378,0.147
K06880,0.0,0.0,0.117,0.0,0.0,0.0
K06881,0.59,0.584,1.21,0.535,0.111,0.238
K06883,2.346,2.258,4.491,3.449,3.767,3.127
K06884,0.115,0.143,0.0,0.0,0.043,0.047
K06885,0.211,0.194,0.161,0.193,0.148,0.215
K06886,1.419,1.526,1.293,1.597,1.214,0.998
K06887,0.0,0.0,0.0,0.0,0.0,0.214
K06888,0.534,0.786,0.948,1.471,0.201,0.561
K06889,2.339,1.302,0.881,0.625,1.429,1.075
K06890,0.655,1.708,0.664,1.291,0.721,0.74
K06891,8.749,7.445,6.077,6.28,7.181,5.024
K06893,0.047,0.0,0.064,0.514,0.593,0.213
K06894,1.049,1.379,0.843,1.041,0.931,0.951
K06895,0.091,0.0,0.124,0.09,0.0,0.0
K06896,0.0,0.0,0.105,0.0,0.0,0.0
K06897,4.538,3.745,2.105,4.003,5.6,6.49
K06898,1.379,1.479,2.38,1.955,2.035,1.31
K06900,0.0,0.0,0.109,0.0,0.061,0.0
K06901,3.306,3.613,3.824,4.034,3.913,3.842
K06902,0.152,0.0,0.203,0.249,0.203,0.0
K06903,0.278,0.332,0.432,0.312,0.338,0.605
K06907,0.823,0.503,0.648,0.293,0.65,0.681
K06909,0.108,0.178,0.117,0.149,0.0,0.0
K06910,4.312,4.446,2.861,5.003,6.324,5.951
K06911,4.97,5.174,5.231,5.509,5.606,5.976
K06912,0.381,0.306,0.129,0.363,0.0,0.105
K06915,1.52,1.117,1.157,2.21,0.964,1.094
K06916,0.499,0.641,0.746,0.627,0.272,0.0
K06918,0.404,0.609,0.208,0.595,0.268,0.415
K06920,2.616,3.267,4.023,3.352,3.697,3.242
K06922,0.0,0.122,0.113,0.277,0.238,0.0
K06923,1.655,1.715,1.681,1.556,0.89,1.496
K06925,0.33,0.253,0.816,0.69,0.749,0.436
K06928,0.0,0.0,0.173,0.0,0.0,0.0
K06929,5.549,4.345,3.855,4.899,4.802,5.305
K06934,0.498,0.486,0.206,0.18,0.185,0.291
K06937,2.241,1.81,1.802,1.832,2.095,2.029
K06938,0.192,0.0,0.034,0.0,0.057,0.0
K06940,0.214,0.443,0.287,0.318,0.085,0.437
K06941,4.656,4.785,5.357,4.039,3.89,4.134
K06942,4.196,4.298,4.26,4.597,3.978,2.975
K06944,0.073,0.0,0.594,0.271,0.0,0.181
K06945,0.283,1.06,1.095,0.569,0.071,0.0
K06949,0.539,0.774,0.851,1.601,1.119,0.627
K06950,0.725,0.458,0.635,0.482,0.218,0.675
K06952,1.621,1.482,0.853,1.62,0.882,1.566
K06953,0.466,0.446,0.304,0.347,0.361,0.348
K06954,0.0,0.0,0.114,0.087,0.0,0.0
K06958,0.472,0.562,1.777,1.824,1.859,0.734
K06959,2.335,1.826,1.907,2.388,1.589,2.072
K06960,4.231,4.042,7.001,5.615,4.835,2.816
K06961,0.0,0.0,0.063,0.0,0.071,0.0
K06966,4.104,4.21,6.2,5.498,4.704,5.859
K06967,0.0,0.0,0.065,0.0,0.0,0.0
K06968,0.523,0.32,0.181,0.257,0.224,0.242
K06969,0.974,1.169,2.091,2.949,3.292,1.183
K06971,0.0,0.0,0.298,0.0,0.21,0.0
K06973,0.0,0.086,0.0,0.0,0.248,0.0
K06974,0.788,0.611,0.902,1.039,0.206,0.514
K06975,0.205,0.082,0.247,0.51,0.156,0.083
K06976,0.194,0.183,0.352,0.0,0.152,0.098
K06978,7.301,7.507,5.38,5.752,4.936,6.367
K06980,0.0,0.503,0.0,0.582,0.274,0.234
K06982,0.0,0.0,0.08,0.0,0.0,0.0
K06985,0.054,0.133,0.145,0.083,0.0,0.0
K06987,0.296,0.187,0.086,0.256,0.197,0.201
K06988,1.494,1.457,1.637,1.535,1.008,1.196
K06989,2.509,2.084,0.847,1.628,1.218,1.222
K06990,0.0,0.189,0.0,0.189,0.0,0.146
K06991,0.179,0.322,0.126,0.0,0.136,0.196
K06994,0.506,0.278,1.044,0.447,0.439,0.263
K06995,0.0,0.112,0.049,0.267,0.0,0.534
K06996,0.0,0.148,0.574,0.159,0.303,0.118
K06997,2.534,2.081,2.332,1.668,1.859,1.034
K06998,0.157,0.211,0.508,0.193,0.407,0.444
K06999,2.587,3.002,0.843,2.267,2.076,1.949
K07000,0.0,0.085,0.214,0.517,0.118,0.128
K07001,11.174,9.827,5.848,7.905,6.606,7.997
K07002,0.098,0.145,0.213,0.237,0.0,0.073
K07003,0.882,0.93,1.074,1.915,0.696,1.099
K07004,0.0,0.0,0.21,0.0,0.0,0.0
K07005,0.0,0.146,0.0,0.113,0.0,0.0
K07006,1.721,2.599,1.347,2.206,1.775,2.057
K07008,0.0,0.0,0.107,0.0,0.0,0.0
K07009,1.261,1.312,1.789,0.975,0.782,0.746
K07010,1.462,0.651,1.577,1.289,1.328,1.085
K07016,0.474,0.485,0.624,0.402,0.444,0.472
K07018,7.273,7.233,3.852,6.104,5.043,6.008
K07019,0.743,0.387,0.593,0.296,0.295,0.0
K07020,1.331,1.184,1.181,1.191,1.011,1.005
K07023,0.0,0.071,0.0,0.0,0.0,0.0
K07025,2.048,1.444,1.562,0.996,1.295,0.94
K07027,1.679,1.317,1.737,1.592,0.551,0.93
K07028,0.0,0.0,0.0,0.152,0.0,0.0
K07030,0.0,0.252,0.465,0.181,0.0,0.0
K07031,1.207,1.323,1.688,1.262,1.288,1.844
K07032,0.0,0.286,0.405,0.0,0.091,0.096
K07034,0.0,0.0,0.425,0.0,0.245,0.148
K07037,0.15,0.0,0.287,0.147,0.216,0.272
K07038,0.0,0.0,0.0,0.198,0.0,0.222
K07040,0.073,0.582,0.473,0.454,0.498,0.347
K07041,0.0,0.0,0.282,0.064,0.0,0.0
K07042,0.657,0.304,1.242,1.157,0.243,0.534
K07043,1.048,1.912,2.065,0.853,0.621,0.728
K07044,0.0,0.129,0.0,0.119,0.0,0.0
K07045,7.93,9.077,6.207,7.08,8.293,7.28
K07046,2.633,2.673,1.382,2.266,1.462,1.85
K07048,0.099,0.0,0.104,0.0,0.054,0.0
K07049,0.0,0.0,0.0,0.173,0.0,0.0
K07050,0.624,0.724,0.17,1.176,0.692,0.566
K07051,1.928,1.746,2.315,1.28,1.695,1.66
K07052,0.0,0.0,0.0,0.147,0.281,0.315
K07053,0.281,0.676,0.618,0.458,0.473,0.455
K07054,1.233,0.747,0.094,0.605,0.636,0.34
K07056,1.256,0.968,1.604,1.346,1.018,0.52
K07058,0.627,0.281,0.654,0.774,0.743,0.697
K07062,0.816,0.381,0.507,0.177,0.372,0.098
K07064,0.09,0.083,0.182,0.066,0.0,0.0
K07067,2.692,1.758,3.669,1.997,0.984,0.64
K07068,8.55,8.294,5.295,6.678,4.453,6.465
K07071,0.186,0.385,0.211,0.313,0.163,0.0
K07073,0.0,0.0,0.096,0.0,0.0,0.0
K07074,0.385,0.92,0.758,0.42,0.735,0.513
K07075,0.829,0.869,0.801,0.717,0.617,0.229
K07076,0.0,0.0,0.0,0.0,0.068,0.0
K07077,0.155,0.285,0.232,0.252,0.157,0.088
K07079,0.214,0.194,0.542,0.721,0.355,0.558
K07080,1.013,0.815,1.228,1.285,0.458,0.544
